School,Self-Reported Gr. 8 Full Tuition 2024-25 ,Total Number of Scholarships 24-25,Total K-8 Enrollment 24-25,School Address,School City,State,Zip
"Saint Joseph School (Rosemount, MN)","$6,575.00",23,269,13900 Biscayne Ave. W.,Rosemount,MN,55068-3451
"Saint Joseph School (Waconia, MN)","$5,900.00",23,144,41 E. 1st St.,Waconia,MN,55387-1526
"Saint Joseph's Catholic School (West Saint Paul, MN)","$6,375.00",49,397,1138 Seminole Ave.,West Saint Paul,MN,55118-2098
"Saint Jude of the Lake Catholic School (Mahtomedi, MN)","$6,125.00",26,235,600 Mahtomedi Ave.,Mahtomedi,MN,55115-1641
"Saint Maximilian Kolbe Academy (Delano, MN)","$5,300.00",21,82,235 2nd St. So.,Delano,MN,55328-0470
"Saint Michael Catholic School (Saint Michael, MN)","$5,100.00",33,432,14 Main St. N.,Saint Michael,MN,55376-9523
"Saint Michael School (Prior Lake, MN)","$5,800.00",14,336,16280 Duluth Ave. SE,Prior Lake,MN,55372-2421
Saint Odilia School,"$6,775.00",19,603,3495 Victoria St. N.,Shoreview,MN,55126-3813
Saint Pascal Baylon Regional School,"$4,600.00",54,115,1757 Conway St.,St. Paul,MN,55106-5929
Saint Peter Claver School,"$1,400.00",46,81,1060 Central Ave. W.,Saint Paul,MN,55104-4728
"Saint Peter School (North Saint Paul, MN)","$5,550.00",49,190,2620 Margaret St. N.,North Saint Paul,MN,55109-2361
"Saint Peter's Catholic School (Forest Lake, MN)","$5,875.00",32,283,1250 South Shore Dr.,Forest Lake,MN,55025-1933
"Saint Raphael Catholic School (Crystal, MN)","$5,920.00",62,169,7301 Bass Lake Rd.,Crystal,MN,55428-3826
"Saint Rose of Lima School (Roseville, MN)","$5,800.00",17,141,2072 Hamline Ave. N.,Roseville,MN,55113-5855
Saint Stephen's Catholic School ,"$5,960.00",18,332,506 Jackson St.,Anoka,MN,55303-2352
"Saint Therese School (Deephaven, MN)","$6,050.00",12,291,18325 Minnetonka Blvd.,Deephaven,MN,55391-3231
Saint Thomas Academy,"$21,775.00",6,143 (6-8),949 Mendota Heights Road,Mendota Heights,MN,55120
Saint Thomas More ,"$6,990.00",28,271,1065 Summit Ave.,Saint Paul,MN,55105-3004
Saint Timothy School ,"$3,950.00",28,122,241 Star St. E.,Maple Lake,MN,55358-4556
